Nama Pengadilan,Pengadilan Tinggi,Provinsi,Jumlah Putusan / Publikasi
PA Prabumulih,PTA PALEMBANG,,3310 / 3301
PA Pringsewu,PTA BANDAR LAMPUNG,,6258 / 5744
PA Pulang Pisau,PTA PALANGKARAYA,,1525 / 1518
PA Pulau Punjung,PTA PADANG,,3410 / 3322
PA RAHA,PTA KENDARI,,8081 / 8058
PA RANGKAS BITUNG,PTA BANTEN,,14495 / 13911
PA RANTAU,PTA BANJARMASIN,,7250 / 7189
PA RANTAU PRAPAT,PTA MEDAN,,19399 / 18930
PA REMBANG,PTA SEMARANG,,17501 / 17394
PA RENGAT,PTA PEKANBARU,,10243 / 8014
PA RUTENG,PTA KUPANG,,918 / 917
PA Rumbia,PTA MAKASSAR,,2025 / 2023
PA SALATIGA,PTA SEMARANG,,14172 / 14166
PA SAMARINDA,PTA SAMARINDA,,31230 / 26046
PA SAMBAS,PTA PONTIANAK,,19524 / 18110
PA SAMPANG,PTA SURABAYA,,23716 / 23633
PA SAMPIT,PTA PALANGKARAYA,,10383 / 10009
PA SANGATTA,PTA SAMARINDA,,10548 / 10487
PA SANGGAU,PTA PONTIANAK,,5951 / 5943
PA SAROLANGUN,PTA JAMBI,,4829 / 4817
PA SAWAHLUNTO,PTA PADANG,,2633 / 2630
PA SEKAYU,PTA PALEMBANG,,11503 / 11361
PA SELAT PANJANG,PTA PEKANBARU,,4689 / 4680
PA SELAYAR,PTA MAKASSAR,,2981 / 2969
PA SELONG,PTA MATARAM,,21963 / 21368
PA SEMARANG,PTA SEMARANG,,41154 / 32908
PA SENGETI,PTA JAMBI,,9141 / 9111
PA SENGKANG,PTA MAKASSAR,,22636 / 22475
PA SENTANI,PTA JAYAPURA,,1750 / 1727
PA SERANG,PTA BANTEN,,50565 / 49743
PA SERUI,PTA JAYAPURA,,747 / 747
PA SIBOLGA,PTA MEDAN,,1817 / 1812
PA SIDENRENG RAPPANG,PTA MAKASSAR,,14742 / 14631
PA SIDIKALANG,PTA MEDAN,,1449 / 1441
PA SIDOARJO,PTA SURABAYA,,63423 / 63305
PA SIJUNJUNG,PTA PADANG,,5805 / 5738
PA SIMALUNGUN,PTA MEDAN,,11682 / 10479
PA SINGARAJA,PTA MATARAM,,2724 / 2722
PA SINJAI,PTA MAKASSAR,,8366 / 8313
PA SINTANG,PTA PONTIANAK,,7810 / 7807
PA SITUBONDO,PTA SURABAYA,,38908 / 38868
PA SLAWI,PTA SEMARANG,,61191 / 59810
PA SLEMAN,PTA YOGYAKARTA,,25148 / 22685
PA SOA SIO,PTA MALUKU UTARA,,4334 / 4300
PA SOE,PTA KUPANG,,240 / 240
PA SOLOK,PTA PADANG,,6325 / 6291
PA SORONG,PTA JAYAPURA,,4934 / 4760
PA SRAGEN,PTA SEMARANG,,31031 / 30735
PA STABAT,PTA MEDAN,,25393 / 24887
PA SUBANG,PTA BANDUNG,,33730 / 31167
PA SUKABUMI,PTA BANDUNG,,9860 / 9620
PA SUKOHARJO,PTA SEMARANG,,20328 / 20315
PA SUMBAWA BESAR,PTA MATARAM,,15064 / 14284
PA SUMBER,PTA BANDUNG,,75111 / 73711
PA SUMEDANG,PTA BANDUNG,,53219 / 51800
PA SUMENEP,PTA SURABAYA,,27514 / 27480
PA SUNGAI LIAT,PTA BANGKA BELITUNG,,11733 / 10113
PA SUNGAI PENUH,PTA JAMBI,,6100 / 6072
PA SUNGGUMINASA,PTA MAKASSAR,,19259 / 17827
PA SURABAYA,PTA SURABAYA,,130470 / 129197
PA SURAKARTA,PTA SEMARANG,,14254 / 13358
PA Sei Rampah,PTA MEDAN,,7700 / 7626
PA Sendawar,PTA SAMARINDA,,1684 / 1673
PA Siak Sri Indrapura,PTA PEKANBARU,,4648 / 4648
PA Sibuhuan,PTA MEDAN,,5389 / 5379
PA Singkawang,PTA PONTIANAK,,2809 / 2788
PA Soreang,PTA BANDUNG,,57781 / 57343
PA Sukadana,PTA BANDAR LAMPUNG,,17896 / 17893
PA Sukamara,PTA PALANGKARAYA,,1007 / 978
PA Sungai Raya,PTA PONTIANAK,,6996 / 6960
PA Suwawa,PTA GORONTALO,,5223 / 5166
PA TABANAN,PTA MATARAM,,1237 / 1217
PA TAHUNA,PTA MANADO,,1454 / 1454
PA TAKALAR,PTA MAKASSAR,,5588 / 5553
PA TALIWANG,PTA MATARAM,,5119 / 4674
PA TALU,PTA PADANG,,9343 / 9320
PA TANAH GROGOT,PTA SAMARINDA,,11943 / 10808
PA TANGERANG,PTA BANTEN,,37321 / 34881
PA TANGGAMUS,PTA BANDAR LAMPUNG,,13782 / 13413
PA TANJUNG,PTA BANJARMASIN,,8678 / 8668
PA TANJUNG BALAI,PTA MEDAN,,8186 / 8159
PA TANJUNG BALAI KARIMUN,PTA PEKANBARU,,6541 / 6526
PA TANJUNG KARANG,PTA BANDAR LAMPUNG,,22936 / 22888
PA TANJUNG PANDAN,PTA BANGKA BELITUNG,,10371 / 9928
PA TANJUNG PATI,PTA PADANG,,7481 / 7458
PA TANJUNG PINANG,PTA PEKANBARU,,11920 / 11871
PA TANJUNG REDEP,PTA SAMARINDA,,7459 / 7183
PA TANJUNG SELOR,PTA SAMARINDA,,5777 / 5656
PA TARAKAN,PTA SAMARINDA,,8619 / 8592
PA TAREMPA,PTA PEKANBARU,,1392 / 1239
PA TARUTUNG,PTA MEDAN,,582 / 580
PA TASIKMALAYA,PTA BANDUNG,,50093 / 48251
PA TASIKMALAYA KOTA,PTA BANDUNG,,25146 / 22582
PA TEBING TINGGI,PTA MEDAN,,8934 / 7725
PA TEGAL,PTA SEMARANG,,8708 / 8647
PA TEMANGGUNG,PTA SEMARANG,,22486 / 19817
PA TEMBILAHAN,PTA PEKANBARU,,11797 / 11796
PA TENGGARONG,PTA SAMARINDA,,19315 / 18299
PA TERNATE,PTA MALUKU UTARA,,9357 / 8808
PA TIGARAKSA,PTA BANTEN,,77035 / 70995
PA TILAMUTA,PTA GORONTALO,,5032 / 4853
PA TOLITOLI,PTA PALU,,6383 / 5996
PA TONDANO,PTA MANADO,,1911 / 1901
PA TRENGGALEK,PTA SURABAYA,,34250 / 34226
PA TUAL,PTA AMBON,,3967 / 3877
PA TUBAN,PTA SURABAYA,,42635 / 42578
PA TULANG BAWANG,PTA BANDAR LAMPUNG,,8902 / 7790
PA TULUNGAGUNG,PTA SURABAYA,,57029 / 57029
PA Tais,PTA BENGKULU,,3963 / 3954
PA Tamiang Layang,PTA PALANGKARAYA,,1039 / 1035
PA Tamiyang Layang,PTA PALANGKARAYA,,0 / 0
PA Teluk Kuantan,PTA PEKANBARU,,3975 / 3967
PA Tulang Bawang Tengah,PTA BANDAR LAMPUNG,,4536 / 4342
PA Tutuyan,PTA MANADO,,1449 / 1449
PA UJUNG TANJUNG,PTA PEKANBARU,,9932 / 9817
PA UNAAHA,PTA KENDARI,,8333 / 8278
PA WAIKABUBAK,PTA KUPANG,,432 / 432
PA WAINGAPU,PTA KUPANG,,601 / 601
PA WAMENA,PTA JAYAPURA,,488 / 488
PA WATAMPONE,PTA MAKASSAR,,32133 / 31984
PA WATAN SOPPENG,PTA MAKASSAR,,11550 / 11540
PA WATES,PTA YOGYAKARTA,,9836 / 9475
PA WONOGIRI,PTA SEMARANG,,19522 / 18998
PA WONOSARI,PTA YOGYAKARTA,,21918 / 20399
PA WONOSOBO,PTA SEMARANG,,33614 / 31766
PA Wangi Wangi,PTA MAKASSAR,,2202 / 2195
PA YOGYAKARTA,PTA YOGYAKARTA,,10864 / 10846
PENGADILAN PAJAK,,,5745 / 5731
PN AIRMADIDI,PT MANADO,,3607 / 3340
PN AMBON,PT AMBON,,10398 / 9129
PN AMLAPURA,PT DENPASAR,,4545 / 3537
PN AMUNTAI,PT BANJARMASIN,,3748 / 3689
PN AMURANG,PT MANADO,,3265 / 2482
PN ARGA MAKMUR,PT BENGKULU,,3235 / 2880
PN ATAMBUA,PT KUPANG,,3850 / 3565
PN Andoolo,PT KENDARI,,1677 / 1597
PN BAJAWA,PT KUPANG,,1662 / 1462
PN BALE BANDUNG,PT BANDUNG,,24751 / 23148
PN BALIGE,PT MEDAN,,4393 / 3495
PN BALIKPAPAN,PT SAMARINDA,,12959 / 11753
PN BANDA ACEH,PT BANDA ACEH,,7629 / 7260
